id	filename	md5	size	state
decf3266-e5fb-459d-ad03-d28eaf88d539	179a8520-e156-48ad-91a1-2079c2de6d4f_wxs_gdc_realn.bam	59d722c108bc34a1eda47f95089b1ad8	11108109744	released
da2052d1-2b25-451b-8c72-4db1e1fc1f69	1c38f338-350a-4a3d-b5b5-36af84614603_wxs_gdc_realn.bam	79c139e0f987ca3f8cc657920f0775cc	9958670079	released
0e2118be-7b69-430a-9c0d-3594e1218bd7	380bdba7-8a12-4136-877a-f54346d2d8a5_wxs_gdc_realn.bam	8bb20a95a80876237891dbe6f3e6f6a6	16080790253	released
f708e956-e4e0-4bce-a4d4-98ff5fa1293a	1a98cd70-7661-4e02-8d83-30b08d24ceac_wxs_gdc_realn.bam	276e2aca91d6ab3005427c3633a4171a	25109714393	released
fdd92a4b-aabb-4462-babe-e46f329f3005	7c3bf7c1-07d9-4540-9a5e-614fd60b63ec_wxs_gdc_realn.bam	adb195d672f9c4c8167994ccdf5f4c09	10104467733	released
4550a11b-d165-4c73-847c-8a107be0513e	9e6bf5b2-d784-40eb-a221-80f2bf7894dd_wxs_gdc_realn.bam	d6df5f279c5d63ee3e0244a0faeb4a77	22398856511	released
0655af2f-7ab4-4fdd-b32b-eef8eab820a7	64a1f085-50cc-4129-a617-e0f691a58039_wxs_gdc_realn.bam	3a6f2030687284d6a9566ce6c0c0f03a	23970017932	released
b67ef76c-9290-48f2-864f-3a5e3a64c38a	78b7e188-9252-48b6-9e10-04eb8690b879_wxs_gdc_realn.bam	ca7219a49598ad6f36899ff64b784f3d	37669664100	released
53031bb9-1d67-4991-b06c-b07ca1691a73	bfa15fdf-d1f5-4e0c-986f-c888e0cf77da_wxs_gdc_realn.bam	9a4715924152fca06086c572bb0c4c00	39945729302	released
b6d62d19-082c-4d1c-924b-e70d463a346e	09bfe7ac-7667-4a3e-aedd-b621f55fb635_wxs_gdc_realn.bam	5e4f6b7a765970a2e4a7fe05a1abaf79	29403090152	released
35d42855-b4d1-4b41-ae3a-a42bb9cfe09b	c6972bea-cb24-44f1-a9fc-16a34fef03c9_wxs_gdc_realn.bam	8396d5325124a7b885cb7693112acc17	29642959482	released
b54c245c-932d-4c0d-b609-fc9885a2e0ec	377fa259-bff5-459f-b14e-3cfef8ba5260_wxs_gdc_realn.bam	80ee2fd583cddb550a3042fe90ae66ac	22766643075	released
da826461-292d-4138-96e6-76ea07fbdc65	85d470b3-45ce-4267-ab98-ce6cc5ca43d4_wxs_gdc_realn.bam	3a32de8c923867ae62746cb2925d4832	39436533652	released
b9ac24f1-593a-47c2-90a1-aea416676073	a615b02d-fd18-47ef-bd66-6dba56de6981_wxs_gdc_realn.bam	36b4f58853dce53f988021096cfb4f53	42985274221	released
adf18bd9-7fbc-4661-a5bf-4628d0a0b5c3	36ee6525-023c-42c2-a752-38bc55af5aba_wxs_gdc_realn.bam	37a9cd3bee6376d4690f8fd8bcf286c2	25800563645	released
aa9069d2-be58-4ea8-82eb-59ea1481a398	30e43131-d7aa-407d-9bed-28ae34db1b68_wxs_gdc_realn.bam	c1f14bf5f845e5e2829ea638982e7615	25464376066	released
cb44534c-ffb6-4645-b526-80d6955b5921	3e787cd9-fd58-4818-b68f-19ce1550c566_wxs_gdc_realn.bam	5d8e721438920c9337a48a462e6827f4	21141562682	released
008cf583-2706-4d5a-a86e-6a3fce7c1fd1	1f164308-3c94-4aca-9592-64eedcabf95f_wxs_gdc_realn.bam	4c850f034489b54b40bf3d54a2798494	28138017115	released
ef6ef3e2-8a9d-42ed-bd48-fa89a4a0cd0f	7ab9f3c3-88b7-4d39-be66-f4ea0798274b_wxs_gdc_realn.bam	f7caa8e9cfe91297c647d0d0e2ecba03	32329451684	released
09aad4f7-aa75-44ea-a56c-9c31d257b12d	6bc3f689-898a-431d-b2ca-9661ecf14ac2_wxs_gdc_realn.bam	0f034675018a8a997765788903619cff	20717858310	released
d88db40e-5cab-4ddd-9b29-d46d40980ac7	5b838251-67f5-4e22-a291-8a9e206d56db_wxs_gdc_realn.bam	24e788d53514075abeffa08d0ff7c060	23439419312	released
79b7738a-41ff-4b97-a8cd-2cdeb7b9e82a	35f1f66f-e018-489c-915f-a12d7a15dc72_wxs_gdc_realn.bam	cb05d829a0b807f8953be14d40dcbe2d	17200160260	released
7a820f9d-ae7f-4748-b6c3-458495155014	30a80165-2c9b-4170-9907-275a227b32bf_wxs_gdc_realn.bam	a7c1d7cbbaaffac8cf33a0964255cbb9	21682311281	released
92b3a814-3d29-4a60-9c91-17a86e0c46eb	51a86b5e-507a-41c0-b689-4d1fc3f6c507_wxs_gdc_realn.bam	0a1caac3e727db59110a3f82503c13c0	24101676758	released
0dbb6549-9972-4916-ae8b-44546620e621	9ca4e638-5a95-4eeb-bfc4-257e8ea8fa66_wxs_gdc_realn.bam	8bccf8593803ff20c14cf03ed5d4d4b3	21445854925	released
e89e0a8c-a7d6-4f15-87a4-44aaeb710ebd	aecbc5db-f75a-42d0-a84d-aa0369b08eec_wxs_gdc_realn.bam	32d7bfe6cd9661d0f3d37c2893a3fddc	49512851507	released
